Invoice Number,Invoice Date,Invoice Type,Sales Return Number,Shipment Number,Sales Order Number,Customer Code,Party Group,Site,Rounded Amount,Invoice Status
920022002,03-06-2024,Tax Invoice,,802024564,210022540,100635,A1 ZONE,Pasta& Vermicelli,41222,Approved
965012706,03-06-2024,Bill of Supply,,86012912,330012919,100635,A1 ZONE,Spices,7866,Approved
910037964,05-06-2024,Tax Invoice,,800041818,200038067,100636,D ZONE,Spices,174740,Approved
910037913,03-06-2024,Tax Invoice,,800041748,200038011,100650,F ZONE,Spices,442575,Approved
920022010,04-06-2024,Tax Invoice,,802024560,210022536,100650,F ZONE,Pasta& Vermicelli,25464,Approved
949903608,04-06-2024,Tax Invoice,,813003759,407003721,100650,F ZONE,Tea,4468,Approved
910037971,06-06-2024,Tax Invoice,,800041830,200038094,100654,D ZONE,Spices,410433,Approved
910037972,06-06-2024,Tax Invoice,,800041831,200038095,100654,D ZONE,Spices,171418,Approved
910037898,03-06-2024,Tax Invoice,,800041757,200038014,100655,C ZONE,Spices,421503,Approved
920022005,03-06-2024,Tax Invoice,,802024558,210022534,100655,C ZONE,Pasta& Vermicelli,27129,Approved
965012704,03-06-2024,Bill of Supply,,86012911,330012918,100655,C ZONE,Spices,4720,Approved
910037942,04-06-2024,Tax Invoice,,800041793,200037998,100657,A ZONE,Spices,281559,Approved
920022039,05-06-2024,Tax Invoice,,802024586,210022564,100657,A ZONE,Pasta& Vermicelli,68779,Approved
910037914,03-06-2024,Tax Invoice,,800041760,200038010,100660,A ZONE,Spices,66416,Approved
910037960,05-06-2024,Tax Invoice,,800041816,200038079,100660,A ZONE,Spices,157920,Approved
920022040,05-06-2024,Tax Invoice,,802024565,210022541,100660,A ZONE,Pasta& Vermicelli,43487,Approved
965012710,03-06-2024,Bill of Supply,,86012913,330012920,100660,A ZONE,Spices,3976,Approved
910037946,04-06-2024,Tax Invoice,,800041795,200038059,100681,D ZONE,Spices,395408,Approved
965012720,04-06-2024,Bill of Supply,,86012925,330012933,100681,D ZONE,Spices,7952,Approved
910037902,03-06-2024,Tax Invoice,,800041758,200037997,100683,A ZONE,Spices,289419,Approved
920022041,05-06-2024,Tax Invoice,,802024563,210022539,100683,A ZONE,Pasta& Vermicelli,27950,Approved
910037951,05-06-2024,Tax Invoice,,800041806,200038063,100696,A ZONE,Spices,260000,Approved
920022034,05-06-2024,Tax Invoice,,802024594,210022572,100696,A ZONE,Pasta& Vermicelli,13020,Approved
910037915,03-06-2024,Tax Invoice,,800041769,200038029,100742,D ZONE,Spices,285173,Approved
920022019,04-06-2024,Tax Invoice,,802024569,210022546,100742,D ZONE,Pasta& Vermicelli,15294,Approved
949903612,04-06-2024,Tax Invoice,,813003762,407003724,100742,D ZONE,Tea,6830,Approved
910037961,05-06-2024,Tax Invoice,,800041807,200038072,100756,A ZONE,Spices,307172,Approved
920022045,06-06-2024,Tax Invoice,,802024595,210022574,100756,A ZONE,Pasta& Vermicelli,93430,Approved
910037928,04-06-2024,Tax Invoice,,800041779,200038043,100760,B ZONE,Spices,429717,Approved
965012715,04-06-2024,Bill of Supply,,86012919,330012926,100760,B ZONE,Spices,7952,Approved
910037962,05-06-2024,Tax Invoice,,800041815,200038077,100764,B ZONE,Spices,541476,Approved
910037903,03-06-2024,Tax Invoice,,800041751,200038018,100765,B ZONE,Spices,273504,Approved
920022006,03-06-2024,Tax Invoice,,802024573,210022538,100765,B ZONE,Pasta& Vermicelli,14127,Approved
910037986,06-06-2024,Tax Invoice,,800041843,200038098,100775,E ZONE,Spices,964325,Approved
910037987,06-06-2024,Tax Invoice,,800041844,200038053,100775,E ZONE,Spices,103609,Approved
920022056,06-06-2024,Tax Invoice,,802024616,210022591,100775,E ZONE,Pasta& Vermicelli,261409,Approved
949903620,06-06-2024,Tax Invoice,,813003775,407003737,100775,E ZONE,Tea,8937,Approved
965012728,06-06-2024,Bill of Supply,,86012933,330012940,100775,E ZONE,Spices,31806,Approved
949802906,07-06-2024,Tax Invoice,,855002904,370002904,100785,"ZONE- 10, MC",Pasta& Vermicelli,21168,Approved
910037957,05-06-2024,Tax Invoice,,800041810,200038069,100840,E ZONE,Spices,221818,Approved
920022043,05-06-2024,Tax Invoice,,802024599,210022576,100840,E ZONE,Pasta& Vermicelli,137959,Approved
910037965,05-06-2024,Tax Invoice,,800041820,200038081,100851,D ZONE,Spices,75382,Approved
910037918,03-06-2024,Tax Invoice,,800041771,200038032,100871,D ZONE,Spices,584134,Approved
910037919,03-06-2024,Tax Invoice,,800041772,200038033,100871,D ZONE,Spices,412754,Approved
910037969,05-06-2024,Tax Invoice,,800041821,200038082,100871,D ZONE,Spices,312223,Approved
920022025,04-06-2024,Tax Invoice,,802024576,210022552,100871,D ZONE,Pasta& Vermicelli,25740,Approved
